,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux_Density,Unc_Flux_Density,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,LP_SigCurv,LP_Index,Unc_LP_Index,LP_beta,Unc_LP_beta,PLEC_SigCurv,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,Unc_PLEC_Exp_Index,Npred,ASSOC_GAM,TEVCAT_FLAG,ASSOC_TEV,CLASS,ASSOC1,ASSOC2,ASSOC_PROB_BAY
0,FL8Y J0000.4-7353 ,0.106,-73.8956,307.71582,-42.755543,0.0582,0.052,-4.79,881,                  ,6.9162974,2898.2493,1.8691605e-14,3.6457577e-15,1.5654428e-10,3.0716884e-11,1.7390834e-12,3.4058767e-13,PowerLaw         ,2.0527458,0.1444339,1.2358439,1.9077405,0.2318607,0.14749439,0.14160463,1.4581625,1.5111018,0.4843274,0.0023781667,0.0022000037,0.6666667,,182.28964,                  ,N,                        ,       ,                          ,                          ,0.0
1,FL8Y J0001.2+4740 ,0.3104,47.6791,114.2473,-14.344426,0.058,0.0489,-42.08,783,                  ,4.3777447,2754.3699,1.8602202e-14,4.8395803e-15,1.4212193e-10,3.7182514e-11,1.5973762e-12,4.3244512e-13,PowerLaw         ,2.1475828,0.17064612,0.19243959,2.2227244,0.20156977,0.021497918,0.09603446,0.42194965,2.0475612,0.30454698,0.00042155385,0.001095263,0.6666667,,177.82153,                  ,N,                        ,bcu    ,CRATES J000119+474202     ,                          ,0.99468845
2,FL8Y J0001.2-0747 ,0.3148,-7.7871,89.04504,-67.2962,0.0306,0.0296,66.94,1065,                  ,22.87042,1281.1793,5.70903e-13,3.797182e-14,8.4358215e-10,6.226865e-11,9.477957e-12,6.5230053e-13,PowerLaw         ,2.146235,0.053328015,1.3684462,2.1090972,0.06382163,0.044621717,0.036023796,1.3473451,2.02861,0.118915096,0.00080543465,0.00081016775,0.6666667,,895.3719,3FHL J0001.2-0748 ,N,                        ,bll    ,PMN J0001-0746            ,                          ,0.9991383
3,FL8Y J0001.4+2112 ,0.365,21.2055,107.625656,-40.176167,0.049,0.0457,-84.12,1052,                  ,30.956703,386.2281,2.7419511e-11,1.314669e-12,9.802744e-10,6.7260524e-11,1.9689519e-11,9.763856e-13,LogParabola      ,2.741887,0.03655053,4.5204673,2.6072218,0.05580404,0.15315647,0.038768906,4.597344,2.3088202,0.11700448,0.0077778315,0.0021068102,0.6666667,,2834.6982,3FGL J0001.4+2120 ,N,                        ,fsrq   ,TXS 2358+209              ,                          ,0.99328524
4,FL8Y J0001.5-4156 ,0.397,-41.9444,334.25934,-72.018036,0.067,0.0534,48.0,1132,                  ,11.137492,3960.3064,1.8225444e-14,2.5615094e-15,2.630416e-10,3.73585e-11,3.3180373e-12,5.0598783e-13,PowerLaw         ,1.7755051,0.09337962,1.2172889,1.6928855,0.13773355,0.07012337,0.06550386,0.9670382,1.6431204,0.17880912,0.0003347156,0.0004211835,0.6666667,,202.05765,3FHL J0001.9-4155 ,N,                        ,bcu    ,1RXS J000135.5-415519     ,                          ,0.9976634
5,FL8Y J0001.7+3503 ,0.4367,35.0508,111.56063,-26.721333,0.1317,0.1101,-57.42,235,                  ,4.2072625,1069.557,1.6896276e-13,3.874413e-14,1.349206e-10,3.4464258e-11,1.9374485e-12,4.856627e-13,PowerLaw         ,2.4783657,0.18670176,0.96956563,2.195429,0.7851834,0.21843712,0.43519312,1.4104362,1.450894,1.1954175,0.008485257,0.009476175,0.6666667,,269.27747,                  ,N,                        ,       ,                          ,                          ,0.0
6,FL8Y J0002.1-6728 ,0.5426,-67.4719,310.08344,-48.966583,0.0366,0.0314,55.38,758,                  ,11.756525,4293.326,1.3909165e-14,2.0181252e-15,2.3365052e-10,3.4647382e-11,2.8832605e-12,4.3612832e-13,PowerLaw         ,1.8022869,0.09357594,2.2349248,1.6832538,0.15067118,0.14211112,0.07938808,2.3591135,1.3360941,0.2717675,0.001471343,0.0008875339,0.6666667,,205.30609,3FHL J0002.1-6728 ,N,                        ,bcu    ,SUMSS J000215-672653      ,                          ,0.99784076
7,FL8Y J0002.1+7503 ,0.5493,75.0545,119.703384,12.492271,0.1903,0.1422,-45.43,233,                  ,6.743004,1361.2,2.0726202e-13,3.2239233e-14,2.9781774e-10,4.809395e-11,4.421466e-12,8.3223673e-13,PowerLaw         ,2.5067058,0.124373555,1.5240982,2.3444035,0.24724461,0.17391254,0.14202046,1.7936174,1.8474767,0.46452412,0.004965708,0.0035476552,0.6666667,,562.2019,                  ,N,                        ,bcu    ,CRATES J000233+745945     ,                          ,0.9840509
8,FL8Y J0002.9+6216 ,0.7305,62.2793,117.32307,-0.062943235,0.027,0.0264,9.81,1224,                  ,28.196825,1325.2415,2.1696375e-12,1.1191668e-13,2.6415181e-09,1.2725196e-10,1.860305e-11,1.4668146e-12,PLSuperExpCutoff2,2.4968035,0.036784064,9.996258,2.3376362,0.21234533,0.4736229,0.066187635,10.125794,1.0799441,0.1971288,0.014231195,0.0019939276,0.6666667,,2358.17,3FGL J0002.6+6218 ,N,                        ,PSR    ,PSR J0002+6216            ,                          ,0.9999936
9,FL8Y J0003.1-5248 ,0.7768,-52.8098,318.9934,-62.785275,0.0339,0.03,-60.44,1240,                  ,13.158715,4243.155,1.7341097e-14,2.3476179e-15,2.8716388e-10,3.9883114e-11,3.4875826e-12,4.886648e-13,PowerLaw         ,1.8233303,0.09225138,1.4723434,1.7348005,0.13234808,0.08117214,0.06452878,1.6905727,1.550921,0.21671264,0.0007646417,0.00059501705,0.6666667,,244.08739,3FHL J0003.3-5248 ,N,                        ,bcu    ,RBS 0006                  ,                          ,0.9620755
10,FL8Y J0003.1+2208 ,0.7839,22.1444,108.417496,-39.36213,0.1129,0.0849,-70.75,1052,                  ,4.4754868,1806.3914,5.304944e-14,1.2608783e-14,1.5626858e-10,3.73583e-11,2.0853729e-12,6.6397614e-13,PowerLaw         ,2.4100912,0.23879078,0.44268253,2.4688082,0.22181885,-0.047643058,0.10072909,0.5093026,2.1215272,0.83196855,0.0013995181,0.0038323628,0.6666667,,256.13013,                  ,N,                        ,       ,                          ,                          ,0.0
11,FL8Y J0003.2+2511 ,0.8113,25.1953,109.35984,-36.40311,0.1012,0.0939,64.76,1342,                  ,5.3380637,1475.986,1.0241278e-13,2.0339877e-14,1.9434232e-10,4.023269e-11,2.3166358e-12,4.698049e-13,PowerLaw         ,2.2740362,0.15327697,1.7459047,2.1921744,0.27074578,0.28944468,0.24163045,1.7925191,1.3101448,0.80921775,0.008801697,0.007560282,0.6666667,,268.90973,                  ,N,                        ,       ,                          ,                          ,0.0
