Source_Name	KNeighborsClassifier	LinearSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J0000.4-7353 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0001.7+3503 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0003.1+2208 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0003.2+2511 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0003.3+0718 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0003.6+3059 	AGN	PSR	PSR	PSR	AGN	AGN	PSR	PSR	PSR	AGN	PSR
FL8Y J0004.0-4004 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0004.0+5714 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0004.8+6623 	PSR	PSR	PSR	PSR	AGN	PSR	PSR	PSR	PSR	AGN	PSR
FL8Y J0006.7+4618 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0008.4+6927 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0008.6+6810 	AGN	AGN	AGN	AGN	AGN	PSR	AGN	PSR	AGN	AGN	AGN
FL8Y J0008.8+6850 	PSR	PSR	PSR	PSR	AGN	PSR	PSR	PSR	PSR	AGN	PSR
FL8Y J0009.2+2506 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN	AGN
FL8Y J0009.3+1744 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0009.5-1417 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0010.0-5012 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0011.8-3142 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0012.3+6507 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0016.3+1706 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0017.2-4604 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0017.4+6626 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0021.3-5920 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0023.6-4208 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0024.1+2401 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0025.4-4837 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0026.1-0732 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0031.4-5647 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
