Source_Name	KNeighborsClassifier	LinearSVM	RBFSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J0003.6+3059 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0004.8+6623 	MSP	MSP	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0008.8+6850 	MSP	MSP	MSP	MSP	MSP	YNG	MSP	YNG	YNG	YNG	YNG	MSP
FL8Y J0039.1+6257 	YNG	MSP	YNG	YNG	MSP	MSP	YNG	MSP	MSP	YNG	YNG	YNG
FL8Y J0212.1+5320 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0219.1+6111 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0225.4+6024 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0237.8+5238 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0312.1-0920 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0318.2+0254 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0327.7+5842 	MSP	MSP	MSP	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J0330.1+5037 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	YNG	MSP	YNG	YNG	MSP
FL8Y J0332.8+1557 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0336.1+7503 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0340.4+5302 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0347.6-0132 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
